j Sz
1 -0.421142
2 0.253812
3 -0.295108
4 0.209295
5 -0.206938
6 0.157173
7 -0.145444
8 0.114514
9 -0.102064
10 0.0818276
11 -0.0709942
12 0.0571526
13 -0.048282
14 0.038368
15 -0.0311558
16 0.0236409
17 -0.0176024
18 0.0114444
19 -0.0060577
20 0.000462479
21 0.00478252
22 -0.0105064
23 0.0161234
24 -0.0226888
25 0.0292084
26 -0.037465
27 0.04544
28 -0.0565422
29 0.0665023
30 -0.0821777
31 0.0944531
32 -0.11751
33 0.131699
34 -0.167061
35 0.180484
36 -0.237515
37 0.240192
38 -0.33858
39 0.291171
40 -0.483058
